10
stk|user name|password|banlance|limit
359581909347|quithang2611|13372611|9185953000|918595264
635148133561|quithang2611|13372611|1841536000|736614400
941694464785|quithang2611|13372611|4496149000|899229824
225131698909|quithang2611|13372611|6131522000|3065761024
611500919123|quithang2611|13372611|9005116000|1801023360
915057143147|quithang2611|13372611|1750519000|875259520
292593475361|quithang2611|13372611|4395292000|1318587648
586140698485|quithang2611|13372611|6041685000|3020842496
982407820609|quithang2611|13372611|8704289000|2611286784
276953353823|quithang2611|13372611|3359672000|335967200
