10
stk|user name|password|banlance|limit
235461674767|manhphuoc2512|74462512|6164532000|1849359744
549008998981|manhphuoc2512|74462512|9800945000|4900472320
825555109105|manhphuoc2512|74462512|1555528000|155552800
209814533329|manhphuoc2512|74462512|5418902000|2167560960
516360864543|manhphuoc2512|74462512|8063615000|1612723072
890917088567|manhphuoc2512|74462512|719098000|287639200
186474310781|manhphuoc2512|74462512|3474681000|694936256
580720543806|manhphuoc2512|74462512|5027085000|2513542400
876367865020|manhphuoc2512|74462512|8763678000|1752735616
152834098244|manhphuoc2512|74462512|438251000|219125504
