10
stk|user name|password|banlance|limit
312149973819|xuanhuynh0605|73500605|9941213000|2982364160
696686105833|xuanhuynh0605|73500605|1686696000|168669600
903233428057|xuanhuynh0605|73500605|4332309000|1299692800
287791630271|xuanhuynh0605|73500605|6197782000|2479112960
673048964495|xuanhuynh0605|73500605|9840376000|1968075136
977685195619|xuanhuynh0605|73500605|1586779000|793389504
253151519643|xuanhuynh0605|73500605|5151352000|1030270400
549608840867|xuanhuynh0605|73500605|8806945000|4403472384
944945074081|xuanhuynh0605|73500605|549449000|164834720
230512395205|xuanhuynh0605|73500605|3215032000|1607516032
