10
stk|user name|password|banlance|limit
397770912446|thiuoc2701|99612701|9077793000|1815558528
691217143660|thiuoc2701|99612701|1712196000|856097984
988784557884|thiuoc2701|99612701|5487889000|548788928
262320878908|thiuoc2701|99612701|8023262000|2406978816
648677002122|thiuoc2701|99612701|776846000|77684600
952124334156|thiuoc2701|99612701|3421259000|1368503680
238782557370|thiuoc2701|99612701|5287832000|528783200
523239889594|thiuoc2701|99612701|8932325000|3572930304
929576012718|thiuoc2701|99612701|675929000|135185808
203143344932|thiuoc2701|99612701|3341302000|1670651008
