10
stk|user name|password|banlance|limit
293848845179|huutrong1212|38111212|8848392000|4424196096
509395378393|huutrong1212|38111212|3593905000|1078171520
883852500517|huutrong1212|38111212|5258388000|525838816
279208833731|huutrong1212|38111212|8802972000|3521188608
573745055955|huutrong1212|38111212|547375000|54737500
859214388189|huutrong1212|38111212|3412958000|1365183232
144851510003|huutrong1212|38111212|5158441000|1031688192
540107734227|huutrong1212|38111212|7701045000|3080418048
836654065443|huutrong1212|38111212|456638000|91327608
110111299667|huutrong1212|38111212|2111011000|1055505472
