10
stk|user name|password|banlance|limit
204943400516|duchai1001|76731001|4349402000|434940224
608392802530|duchai1001|76731001|8293806000|829380608
995839135754|duchai1001|76731001|1938599000|775439616
279306367978|duchai1001|76731001|3603972000|720794432
585942680192|duchai1001|76731001|6249585000|2499834112
969299812316|duchai1001|76731001|8992969000|1798593792
245746045340|duchai1001|76731001|647542000|323771008
559203377564|duchai1001|76731001|3302955000|990886528
936859591788|duchai1001|76731001|5958639000|2979319552
222198822902|duchai1001|76731001|8891222000|2667366656
