10
stk|user name|password|banlance|limit
335236187582|tronghuu0207|69240207|1632533000|653013184
622884391706|tronghuu0207|69240207|3488226000|1744113024
906341513920|tronghuu0207|69240207|5143609000|1028721792
202898846944|tronghuu0207|69240207|8898202000|4449100800
698144078168|tronghuu0207|69240207|441896000|132568808
972701391382|tronghuu0207|69240207|3107279000|1553639552
288258523506|tronghuu0207|69240207|5852882000|1755864704
563795856621|tronghuu0207|69240207|8597365000|859736512
949141088655|tronghuu0207|69240207|141949000|56779596
253600502879|tronghuu0207|69240207|5006352000|500635200
