10
stk|user name|password|banlance|limit
397043767065|tronglan2904|42212904|7340793000|1468158592
673589999289|tronglan2904|42212904|9985376000|4992688128
987036412403|tronglan2904|42212904|4630789000|926157824
264603644527|tronglan2904|42212904|6306462000|3153231104
648940977552|tronglan2904|42212904|9049846000|2714953728
954498109776|tronglan2904|42212904|1894459000|189445904
238055403990|tronglan2904|42212904|4550832000|455083232
524502634114|tronglan2904|42212904|6205425000|2482170112
920848968338|tronglan2904|42212904|9848029000|1969605888
205415189552|tronglan2904|42212904|1514502000|605800832
