10
stk|user name|password|banlance|limit
264436808416|huuchinh2209|27042209|8634462000|863446208
650793030440|huuchinh2209|27042209|397056000|158822400
934249543664|huuchinh2209|27042209|5942439000|2971219456
240896775888|huuchinh2209|27042209|7698042000|2309412608
524353099002|huuchinh2209|27042209|353425000|176712496
910602220226|huuchinh2209|27042209|2206019000|661805760
217248554240|huuchinh2209|27042209|5842712000|584271232
591715785464|huuchinh2209|27042209|7517195000|3006877952
887252909688|huuchinh2209|27042209|9252788000|925278848
281609230702|huuchinh2209|27042209|2906182000|1162472832
