10
stk|user name|password|banlance|limit
289827494742|quanghoc0804|23160804|4728982000|2364491008
685194615967|quanghoc0804|23160804|6491586000|1298317184
979740949181|quanghoc0804|23160804|9047979000|4523989504
256289173305|quanghoc0804|23160804|1982652000|594795648
650756484339|quanghoc0804|23160804|4657056000|1862822272
946193608553|quanghoc0804|23160804|6391649000|639164864
220649939677|quanghoc0804|23160804|9946022000|3978408704
536106163891|quanghoc0804|23160804|1601635000|320327008
910553685015|quanghoc0804|23160804|6355019000|2542007552
297000818039|quanghoc0804|23160804|8000792000|1600158464
