10
stk|user name|password|banlance|limit
359218064947|congthao0307|57240307|812953000|162590608
633875387961|congthao0307|57240307|3578336000|1431334400
949322519185|congthao0307|57240307|5223949000|1044789760
223869843309|congthao0307|57240307|8968322000|4484161024
600235064523|congthao0307|57240307|532006000|106401208
916774398747|congthao0307|57240307|3477619000|1738809472
290221509762|congthao0307|57240307|5122092000|512209216
586897833986|congthao0307|57240307|8798685000|3519474176
980134054000|congthao0307|57240307|431089000|43108900
266681588224|congthao0307|57240307|5186662000|2074664832
