10
stk|user name|password|banlance|limit
299552094169|thihanh1901|02991901|255992000|127996000
673899226384|thihanh1901|02991901|2998376000|899512832
959446550508|thihanh1901|02991901|5644959000|564495936
263905781432|thihanh1901|02991901|7509362000|3003745024
549451905656|thihanh1901|02991901|9154945000|915494528
936898236870|thihanh1901|02991901|2898639000|1159455616
230365660094|thihanh1901|02991901|6563032000|1312606464
526812981218|thihanh1901|02991901|9218625000|3687449856
800458115432|thihanh1901|02991901|1854008000|370801632
206705447456|thihanh1901|02991901|4507602000|2253800960
