10
stk|user name|password|banlance|limit
228945051022|thigiang0407|23820407|549822000|54982204
522481382146|thigiang0407|23820407|3184225000|1273689984
808058516160|thigiang0407|23820407|5850808000|1170161536
292397737385|thigiang0407|23820407|7793292000|3117316864
578844261509|thigiang0407|23820407|2448875000|489775008
883310493723|thigiang0407|23820407|4013388000|2006694016
169957726947|thigiang0407|23820407|7759961000|2327988480
545204948161|thigiang0407|23820407|9402545000|4701272576
859760251195|thigiang0407|23820407|2067958000|206795808
135317483319|thigiang0407|23820407|4713531000|1885412352
