10
stk|user name|password|banlance|limit
258558860601|duccanh1912|00371912|8855852000|1771170432
564107082535|duccanh1912|00371912|701465000|280586016
848653315759|duccanh1912|00371912|3356848000|671369664
235910547973|duccanh1912|00371912|5019532000|2509765888
539567871197|duccanh1912|00371912|8765935000|2629780480
815003092311|duccanh1912|00371912|300518000|150259008
101570526535|duccanh1912|00371912|5075101000|1522530432
505917757559|duccanh1912|00371912|7719505000|771950528
892464071773|duccanh1912|00371912|464298000|139289408
176930202997|duccanh1912|00371912|2039671000|203967104
