10
stk|user name|password|banlance|limit
374777915200|thiquy0802|32900802|9777473000|1955494528
660244147425|thiquy0802|32900802|1442066000|721033024
964793670359|thiquy0802|32900802|6397469000|1919240832
240330802573|thiquy0802|32900802|8033042000|803304192
634606026797|thiquy0802|32900802|606436000|181930800
931143357911|thiquy0802|32900802|3341139000|334113888
225690581135|thiquy0802|32900802|5096522000|2038608896
501256802159|thiquy0802|32900802|8652105000|865210496
985503016373|thiquy0802|32900802|305589000|61117800
291050348597|thiquy0802|32900802|3050192000|1525095936
